table_catalog,table_schema,table_name,column_name,data_type
rpt-network-plng,o2_data,AV_O2_SPLTR_RPT,STATE,STRING
rpt-network-plng,o2_data,AV_O2_SPLTR_RPT,SPLITTER_CAPACITY_TAG,NUMERIC
rpt-network-plng,o2_data,AV_O2_SPLTR_RPT,SPLITTER_INUSE_TAG,NUMERIC
rpt-network-plng,o2_data,AV_O2_SPLTR_RPT,SPLITTER_CAPACITY_SUM,NUMERIC
rpt-network-plng,o2_data,AV_O2_SPLTR_RPT,SPLITTER_INUSE_SUM,NUMERIC
rpt-network-plng,o2_data,AV_O2_SPLTR_RPT,SPLITTER_LEFTIN_SUM,INT64
rpt-network-plng,o2_data,AV_O2_SPLTR_RPT,PARENT_NETWORKNAME,STRING
rpt-network-plng,o2_data,AV_O2_SPLTR_RPT,OLT_GPON_PORT,STRING
rpt-network-plng,o2_data,AV_O2_SPLTR_RPT,OLT_CLLI,STRING
rpt-network-plng,o2_data,AV_O2_SPLTR_RPT,OLT_SHELF,STRING
rpt-network-plng,o2_data,AV_O2_SPLTR_RPT,OLT_SLOT,STRING
rpt-network-plng,o2_data,AV_O2_SPLTR_RPT,OLT_PON_PORT,STRING
rpt-network-plng,o2_data,AV_O2_SPLTR_RPT,QCC_IP_CONNECT,STRING
rpt-network-plng,o2_data,AV_O2_SPLTR_RPT,SPLIT_PORT_WKG,INT64
rpt-network-plng,o2_data,AV_O2_SPLTR_RPT,SPLIT_PORT_PEND,INT64
rpt-network-plng,o2_data,AV_O2_SPLTR_RPT,SPLIT_PORT_LEFTIN,INT64
rpt-network-plng,o2_data,AV_O2_SPLTR_RPT,SPLIT_PORT_SUSP,INT64
rpt-network-plng,o2_data,AV_O2_SPLTR_RPT,SPLIT_PORT_DEF,INT64
rpt-network-plng,o2_data,AV_O2_SPLTR_RPT,SPLIT_PORT_AVAIL,INT64
rpt-network-plng,o2_data,AV_O2_SPLTR_RPT,SPLIT_PORT_OTH,INT64
rpt-network-plng,o2_data,AV_O2_SPLTR_RPT,IN_USE_CNT,INT64
rpt-network-plng,o2_data,AV_O2_SPLTR_RPT,IN_USE_PER_UTIL,NUMERIC
rpt-network-plng,o2_data,AV_O2_SPLTR_RPT,AVAIL_CNT,INT64
rpt-network-plng,o2_data,AV_O2_SPLTR_RPT,AVAIL_PER_UTIL,NUMERIC
rpt-network-plng,o2_data,AV_O2_SPLTR_RPT,IN_USE_THRESHOLD,STRING
rpt-network-plng,o2_data,AV_O2_SPLTR_RPT,SPLITTER_STATUS,STRING
rpt-network-plng,o2_data,AV_O2_SPLTR_RPT,SPLITTER_ENTITY_SPEC_NAME,STRING
rpt-network-plng,o2_data,AV_O2_SPLTR_RPT,SPLITTERDN,STRING
rpt-network-plng,o2_data,AV_O2_SPLTR_RPT,FDH,STRING
rpt-network-plng,o2_data,AV_O2_SPLTR_RPT,FDH_ADDR,STRING
rpt-network-plng,o2_data,AV_O2_SPLTR_RPT,REPORT_DATE,DATE
rpt-network-plng,o2_data,AV_O2_SPLTR_RPT,SPLTR_TECHNOLOGIES,STRING